id,population
Coastal_01,Coastal
Coastal_02,Coastal
Coastal_03,Coastal
Coastal_04,Coastal
Coastal_05,Coastal
Coastal_06,Coastal
Coastal_07,Coastal
Coastal_08,Coastal
Coastal_09,Coastal
Coastal_10,Coastal
Coastal_11,Coastal
Coastal_12,Coastal
Coastal_13,Coastal
Coastal_14,Coastal
Highland_01,Highland
Highland_02,Highland
Highland_03,Highland
Highland_04,Highland
Highland_05,Highland
Highland_06,Highland
Highland_07,Highland
Highland_08,Highland
Highland_09,Highland
Highland_10,Highland
Highland_11,Highland
Highland_12,Highland
Highland_13,Highland
Highland_14,Highland
Riverine_01,Riverine
Riverine_02,Riverine
Riverine_03,Riverine
Riverine_04,Riverine
Riverine_05,Riverine
Riverine_06,Riverine
Riverine_07,Riverine
Riverine_08,Riverine
Riverine_09,Riverine
Riverine_10,Riverine
Riverine_11,Riverine
Riverine_12,Riverine
Riverine_13,Riverine
Riverine_14,Riverine
Desert_01,Desert
Desert_02,Desert
Desert_03,Desert
Desert_04,Desert
Desert_05,Desert
Desert_06,Desert
Desert_07,Desert
Desert_08,Desert
Desert_09,Desert
Desert_10,Desert
Desert_11,Desert
Desert_12,Desert
Desert_13,Desert
Desert_14,Desert
Island_01,Island
Island_02,Island
Island_03,Island
Island_04,Island
Island_05,Island
Island_06,Island
Island_07,Island
Island_08,Island
Island_09,Island
Island_10,Island
Island_11,Island
Island_12,Island
Island_13,Island
Island_14,Island
